City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
272,Basoko,1.2391,23.616,74.3,64,91,1.86,overcast clouds,CD,2022-02-12 00:58:37
273,Booue,-0.0921,11.9385,76.32,83,4,3.38,clear sky,GA,2022-02-12 00:58:37
274,Russell,32.3502,-85.1999,55.38,62,0,4.16,clear sky,US,2022-02-12 00:58:37
275,Boa Vista,2.8197,-60.6733,84.18,54,0,5.75,clear sky,BR,2022-02-12 00:58:38
276,Rudnichnyy,59.617,52.4703,13.32,97,100,4.36,overcast clouds,RU,2022-02-12 00:59:38
277,Mumford,5.2618,-0.759,79.05,87,100,6.06,overcast clouds,GH,2022-02-12 00:59:38
278,Carlyle,38.6103,-89.3726,43.43,85,42,1.99,scattered clouds,US,2022-02-12 00:59:38
279,Kavieng,-2.5744,150.7967,83.89,68,27,3.56,scattered clouds,PG,2022-02-12 00:59:39
280,Genhe,50.7833,121.5167,-8.63,94,75,1.68,broken clouds,CN,2022-02-12 00:59:39
281,Palm Coast,29.585,-81.2078,65.07,72,100,1.99,overcast clouds,US,2022-02-12 00:58:11
282,Constitucion,-35.3333,-72.4167,58.86,67,0,9.22,clear sky,CL,2022-02-12 00:59:39
283,Abha,18.2164,42.5053,53.42,93,0,0.0,clear sky,SA,2022-02-12 00:59:40
284,Tromso,69.6496,18.957,24.82,80,75,5.75,light snow,NO,2022-02-12 00:59:38
285,Mar Del Plata,-38.0023,-57.5575,63.09,77,100,21.0,light rain,AR,2022-02-12 00:58:02
286,Talakan,50.3167,130.3667,5.95,92,100,3.96,overcast clouds,RU,2022-02-12 00:59:40
287,Olafsvik,64.8945,-23.7142,27.75,72,100,22.57,overcast clouds,IS,2022-02-12 00:59:40
288,Comodoro Rivadavia,-45.8667,-67.5,71.46,18,0,8.05,clear sky,AR,2022-02-12 00:59:31
289,Houma,29.5958,-90.7195,62.01,63,13,5.86,few clouds,US,2022-02-12 00:59:41
290,Linxia,35.6003,103.2064,18.03,95,100,1.23,overcast clouds,CN,2022-02-12 00:59:41
291,Mandalgovi,45.7625,106.2708,-5.93,68,96,3.94,overcast clouds,MN,2022-02-12 00:59:41
292,Ghedi,45.4011,10.2793,43.29,79,65,7.29,broken clouds,IT,2022-02-12 00:59:42
293,Ust-Kulom,61.6864,53.6902,14.14,95,100,7.23,light snow,RU,2022-02-12 00:59:42
294,Sistranda,63.7256,8.834,37.36,65,100,33.87,overcast clouds,NO,2022-02-12 00:57:06
295,Palana,59.1167,159.9667,-3.71,82,14,4.97,few clouds,RU,2022-02-12 00:59:42
296,Vallenar,-28.5708,-70.7581,69.84,56,0,3.36,clear sky,CL,2022-02-12 00:59:43
297,Flinders,-34.5833,150.8552,75.79,89,61,5.01,light rain,AU,2022-02-12 00:59:43
298,San Isidro,-12.1167,-77.05,75.02,74,0,14.97,clear sky,PE,2022-02-12 00:59:43
299,Alofi,-19.0595,-169.9187,82.29,74,2,17.27,clear sky,NU,2022-02-12 00:59:43
300,Mezen,65.8522,44.24,18.1,97,99,5.12,overcast clouds,RU,2022-02-12 00:59:44
301,Liling,27.6667,113.5,40.89,94,100,1.5,overcast clouds,CN,2022-02-12 00:59:44
