City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
53,Matcha,54.6335,42.3501,15.19,96,100,3.83,RU,2022-02-09 17:39:38
54,Voh,-20.9667,164.7,79.12,92,100,14.23,NC,2022-02-09 17:39:38
55,Vaini,-21.2,-175.2,78.96,94,20,8.05,TO,2022-02-09 17:38:05
56,Tuktoyaktuk,69.4541,-133.0374,-32.8,68,40,17.27,CA,2022-02-09 17:38:10
57,Cabo San Lucas,22.8909,-109.9124,76.6,45,0,3.0,MX,2022-02-09 17:39:39
58,Ushuaia,-54.8,-68.3,58.62,35,40,13.8,AR,2022-02-09 17:34:51
59,Lavrentiya,65.5833,-171.0,-25.35,91,57,7.14,RU,2022-02-09 17:39:39
60,Muisne,0.6,-80.0333,82.51,81,99,9.08,EC,2022-02-09 17:39:39
61,Pisticci,40.3906,16.5568,53.04,36,0,5.55,IT,2022-02-09 17:39:40
62,Broken Hill,-31.95,141.4333,71.31,49,16,19.57,AU,2022-02-09 17:39:40
63,Saldanha,-33.0117,17.9442,71.65,89,32,7.34,ZA,2022-02-09 17:39:40
64,Baruun-Urt,46.6806,113.2792,-4.07,97,28,2.77,MN,2022-02-09 17:39:41
65,Muravlenko,63.7898,74.523,-9.89,91,21,10.36,RU,2022-02-09 17:39:41
66,Hailar,49.2,119.7,-12.03,100,100,2.73,CN,2022-02-09 17:39:42
67,Puerto Ayora,-0.7393,-90.3518,80.56,70,35,9.62,EC,2022-02-09 17:38:09
68,Tilichiki,60.4667,166.1,-19.17,84,18,7.65,RU,2022-02-09 17:39:42
69,Brownsville,25.9018,-97.4975,68.02,47,0,3.44,US,2022-02-09 17:39:42
70,Larap,14.299,122.6504,74.82,89,14,7.78,PH,2022-02-09 17:39:43
71,Puerto Narino,-3.7703,-70.3831,82.35,94,100,2.1,CO,2022-02-09 17:39:43
72,Yellowknife,62.456,-114.3525,-9.58,78,100,8.05,CA,2022-02-09 17:39:43
